Si (Silicon) - Palik

wavelength (microns), Im(eps)
0.132585, 1.06106
0.132411, 1.05626
0.132237, 1.05145
0.132064, 1.04665
0.131892, 1.04184
0.131719, 1.03704
0.131548, 1.03223
0.131376, 1.02743
0.131206, 1.02262
0.131035, 1.01782
0.130865, 1.01301
0.130696, 1.00821
0.130527, 1.0034
0.1305, 1.00264
0.130358, 0.999267
0.13019, 0.995257
0.130022, 0.991247
0.129855, 0.987238
0.129688, 0.983228
0.129522, 0.979218
0.129356, 0.975208
0.12919, 0.971198
0.129025, 0.967188
0.12886, 0.963179
0.128696, 0.959169
0.128532, 0.955159
0.128368, 0.951149
0.128205, 0.947139
0.128042, 0.943129
0.12788, 0.93912
0.127718, 0.93511
0.127557, 0.9311
0.127396, 0.92709
0.127235, 0.92308
0.1272, 0.9222
0.127075, 0.91924
0.126915, 0.915448
0.126756, 0.911655
0.126597, 0.907863
0.126438, 0.904071
0.12628, 0.900278
0.126122, 0.896486
0.125965, 0.892693
0.125808, 0.888901
0.125651, 0.885109
0.125495, 0.881316
0.125339, 0.877524
0.125183, 0.873731
0.125028, 0.869939
0.124873, 0.866147
0.124719, 0.862354
0.124565, 0.858562
0.124412, 0.854769
0.124258, 0.850977
0.124106, 0.847185
0.124, 0.84456
0.123953, 0.843556
0.123801, 0.840297
0.123649, 0.837038
0.123498, 0.833779
0.123347, 0.830519
0.123196, 0.82726
0.123046, 0.824001
0.122896, 0.820742
0.122747, 0.817482
0.122598, 0.814223
0.122449, 0.810964
0.122301, 0.807705
0.122153, 0.804445
0.122005, 0.801186
0.121858, 0.797927
0.121711, 0.794668
0.121564, 0.791408
0.121418, 0.788149
0.121272, 0.78489
0.121126, 0.781631
0.121, 0.7788
0.120981, 0.778427
0.120836, 0.775591
0.120692, 0.772755
0.120547, 0.769919
0.120404, 0.767082
0.12026, 0.764246
0.120117, 0.76141
0.119974, 0.758574
0.119832, 0.755738
0.119689, 0.752901
0.119548, 0.750065
0.119406, 0.747229
0.119265, 0.744393
0.119124, 0.741557
0.118984, 0.738721
0.118844, 0.735884
0.118704, 0.733048
0.118564, 0.730212
0.118425, 0.727376
0.118286, 0.72454
0.118148, 0.721704
0.1181, 0.72072
0.11801, 0.71921
0.117872, 0.716899
0.117734, 0.714587
0.117597, 0.712276
0.11746, 0.709965
0.117324, 0.707653
0.117188, 0.705342
0.117052, 0.703031
0.116916, 0.700719
0.116781, 0.698408
0.116646, 0.696096
0.116511, 0.693785
0.116377, 0.691474
0.116243, 0.689162
0.116109, 0.686851
0.115975, 0.68454
0.115842, 0.682228
0.115709, 0.679917
0.115577, 0.677605
0.115445, 0.675294
0.115313, 0.672983
0.1153, 0.67276
0.115181, 0.670893
0.11505, 0.668826
0.114919, 0.66676
0.114788, 0.664694
0.114658, 0.662628
0.114527, 0.660561
0.114398, 0.658495
0.114268, 0.656429
0.114139, 0.654362
0.11401, 0.652296
0.113881, 0.65023
0.113753, 0.648163
0.113625, 0.646097
0.113497, 0.644031
0.113369, 0.641965
0.113242, 0.639898
0.113115, 0.637832
0.112989, 0.635766
0.112862, 0.633699
0.112736, 0.631633
0.1127, 0.63104
0.11261, 0.629696
0.112485, 0.62781
0.11236, 0.625925
0.112235, 0.624039
0.11211, 0.622153
0.111985, 0.620268
0.111861, 0.618382
0.111737, 0.616497
0.111614, 0.614611
0.111491, 0.612726
0.111368, 0.61084
0.111245, 0.608955
0.111122, 0.607069
0.111, 0.605184
0.110878, 0.603298
0.110756, 0.601413
0.110635, 0.599527
0.110514, 0.597642
0.110393, 0.595756
0.110272, 0.593871
0.1102, 0.59274
0.110152, 0.592049
0.110032, 0.590323
0.109912, 0.588598
0.109792, 0.586872
0.109673, 0.585146
0.109554, 0.583421
0.109435, 0.581695
0.109317, 0.579969
0.109198, 0.578244
0.10908, 0.576518
0.108962, 0.574792
0.108845, 0.573067
0.108728, 0.571341
0.108611, 0.569615
0.108494, 0.56789
0.108377, 0.566164
0.108261, 0.564438
0.108145, 0.562713
0.108029, 0.560987
0.107914, 0.559262
0.1078, 0.55756
0.107798, 0.557536
0.107683, 0.555852
0.107569, 0.554167
0.107454, 0.552482
0.10734, 0.550798
0.107226, 0.549113
0.107112, 0.547428
0.106998, 0.545744
0.106885, 0.544059
0.106772, 0.542374
0.106659, 0.54069
0.106546, 0.539005
0.106434, 0.53732
0.106322, 0.535635
0.10621, 0.533951
0.106098, 0.532266
0.105987, 0.530581
0.105876, 0.528897
0.105765, 0.527212
0.105654, 0.525527
0.105543, 0.523843
0.1055, 0.52318
0.105433, 0.52234
0.105323, 0.520956
0.105213, 0.519572
0.105104, 0.518187
0.104994, 0.516803
0.104885, 0.515419
0.104776, 0.514035
0.104668, 0.51265
0.104559, 0.511266
0.104451, 0.509882
0.104343, 0.508498
0.104235, 0.507113
0.104128, 0.505729
0.10402, 0.504345
0.103913, 0.502961
0.103806, 0.501576
0.1037, 0.500192
0.103593, 0.498808
0.103487, 0.497424
0.103381, 0.496039
