SiO2 (Glass) - Palik

wavelength (microns), Im(eps)
0.1442, 0.0302183
0.1425, 0.039785
0.1409, 0.04884
0.1393, 0.0585312
0.1378, 0.0719712
0.1362, 0.088236
0.1348, 0.10672
0.1333, 0.136007
0.1319, 0.176042
0.1305, 0.234722
0.1291, 0.32956
0.1278, 0.52122
0.1265, 0.753648
0.1252, 1.08182
0.124, 1.50518
0.1228, 2.14544
0.1215, 3.2032
0.121, 3.48624
0.1204, 3.7888
0.1198, 4.0299
0.1192, 4.00472
0.1187, 3.7506
0.1181, 3.47874
0.117, 2.72738
0.1159, 2.19385
0.1148, 1.96153
0.1137, 1.90631
0.1127, 1.97898
0.1107, 2.53598
0.1088, 2.77992
0.1069, 2.80893
0.1051, 2.71639
0.1033, 2.53995
0.1012, 2.32368
0.09919, 2.19344
0.09724, 2.1019
0.09537, 2.04379
0.09357, 2.07021
0.09184, 2.11265
0.09017, 2.0988
0.08856, 2.04424
0.087, 1.95755
0.08551, 1.84269
0.08405, 1.73665
0.08266, 1.6609
0.0813, 1.63147
0.07999, 1.63142
0.07872, 1.65627
0.07749, 1.68065
0.0763, 1.70394
0.07514, 1.71687
0.07402, 1.71972
0.07293, 1.64659
0.07187, 1.57178
0.07085, 1.4985
0.06985, 1.42545
0.06888, 1.36277
0.06701, 1.25516
0.06526, 1.16358
0.06358, 1.07765
0.06199, 1.00503
0.06, 0.856828
0.05904, 0.87662
0.059, 0.820364
0.058, 0.79242
0.057, 0.7497
0.05636, 0.76512
0.056, 0.71294
0.055, 0.670752
0.054, 0.62909
0.05391, 0.671832
0.053, 0.593652
0.052, 0.552916
0.05166, 0.56475
0.051, 0.517776
0.05, 0.4818
0.04959, 0.47645
0.049, 0.453456
0.048, 0.43632
0.047, 0.4065
0.046, 0.380722
0.045, 0.358392
0.044, 0.334108
0.043, 0.31654
0.042, 0.30204
0.041, 0.28561
0.04, 0.265512
0.039, 0.247104
0.038, 0.237284
0.037, 0.22272
0.036, 0.21048
0.035, 0.199332
0.034, 0.190032
0.033, 0.17542
0.032, 0.169388
0.031, 0.166888
0.03, 0.16434
0.029, 0.149847
0.028, 0.137625
0.027, 0.125215
0.026, 0.132205
0.025, 0.119132
0.024, 0.106606
0.023, 0.0964184
0.022, 0.0861907
0.021, 0.0820336
0.02, 0.0704317
0.019, 0.0633686
0.018, 0.0534406
0.017, 0.0466626
0.016, 0.0434282
0.015, 0.0383433
0.0138, 0.0200788
0.0136, 0.0181555
0.0134, 0.0169998
0.0132, 0.0162315
0.013, 0.0148793
0.0128, 0.0148869
0.0126, 0.0143124
0.0124, 0.0137382
0.0122, 0.0133593
0.012, 0.0127907
0.0118, 0.014787
0.0116, 0.020918
0.0114, 0.031253
0.0112, 0.0182689
0.011, 0.0177192
0.0108, 0.019499
0.0106, 0.0188947
0.0104, 0.0163527
0.0102, 0.0167705
0.01, 0.0191556
0.0098, 0.0219158
0.0096, 0.021907
0.0094, 0.0224762
0.0092, 0.0210876
