SiO2 (Glass) - Palik

wavelength (microns), Re(eps)
0.109554, 2.41472
0.109435, 2.39495
0.109317, 2.37519
0.109198, 2.35542
0.10908, 2.33565
0.108962, 2.31588
0.108845, 2.29611
0.1088, 2.28856
0.108728, 2.27532
0.108611, 2.25389
0.108494, 2.23247
0.108377, 2.21104
0.108261, 2.18961
0.108145, 2.16819
0.108029, 2.14676
0.107914, 2.12533
0.107798, 2.10391
0.107683, 2.08248
0.107569, 2.06105
0.107454, 2.03963
0.10734, 2.0182
0.107226, 1.99677
0.107112, 1.97535
0.106998, 1.95392
0.1069, 1.93534
0.106885, 1.933
0.106772, 1.91542
0.106659, 1.89783
0.106546, 1.88025
0.106434, 1.86266
0.106322, 1.84507
0.10621, 1.82749
0.106098, 1.8099
0.105987, 1.79232
0.105876, 1.77473
0.105765, 1.75715
0.105654, 1.73956
0.105543, 1.72197
0.105433, 1.70439
0.105323, 1.6868
0.105213, 1.66922
0.105104, 1.65163
0.1051, 1.65104
0.104994, 1.63852
0.104885, 1.62557
0.104776, 1.61261
0.104668, 1.59966
0.104559, 1.5867
0.104451, 1.57375
0.104343, 1.56079
0.104235, 1.54784
0.104128, 1.53488
0.10402, 1.52193
0.103913, 1.50897
0.103806, 1.49602
0.1037, 1.48306
0.103593, 1.47011
0.103487, 1.45715
0.103381, 1.4442
0.1033, 1.4343
0.103275, 1.43285
0.103169, 1.42667
0.103064, 1.42049
0.102959, 1.41432
0.102854, 1.40814
0.102749, 1.40197
0.102645, 1.39579
0.10254, 1.38962
0.102436, 1.38344
0.102332, 1.37727
0.102229, 1.37109
0.102125, 1.36492
0.102022, 1.35874
0.101919, 1.35256
0.101816, 1.34639
0.101714, 1.34021
0.101611, 1.33404
0.101509, 1.32786
0.101407, 1.32169
0.101305, 1.31551
0.101204, 1.30934
0.1012, 1.30912
0.101102, 1.30792
0.101001, 1.30666
0.1009, 1.30541
0.100799, 1.30416
0.100699, 1.30291
0.100598, 1.30166
0.100498, 1.30041
0.100398, 1.29916
0.100298, 1.29791
0.100199, 1.29665
0.100099, 1.2954
0.1, 1.29415
500, 3.82196
250, 3.8298
166.7, 3.83761
125, 3.8493
100, 3.86884
40, 4.40788
36.36, 4.60647
33.33, 4.87961
30.77, 5.20819
28.57, 5.68564
