Si (Silicon) - Palik

wavelength (microns), Re(eps)
0.180166, -5.79666
0.179844, -5.76992
0.179525, -5.74317
0.179206, -5.71643
0.178888, -5.68968
0.178571, -5.66294
0.178256, -5.6362
0.177942, -5.60945
0.177628, -5.58271
0.177316, -5.55596
0.1771, -5.53738
0.177005, -5.52932
0.176695, -5.50291
0.176386, -5.47649
0.176079, -5.45008
0.175772, -5.42366
0.175466, -5.39725
0.175162, -5.37083
0.174858, -5.34442
0.174556, -5.318
0.174254, -5.29159
0.173954, -5.26517
0.173655, -5.23876
0.173356, -5.21234
0.173059, -5.18593
0.172763, -5.15951
0.172467, -5.1331
0.172173, -5.10668
0.17188, -5.08027
0.171588, -5.05385
0.171296, -5.02744
0.171006, -5.00102
0.171, -5.00048
0.170717, -4.97962
0.170428, -4.95833
0.170141, -4.93703
0.169855, -4.91573
0.169569, -4.89444
0.169285, -4.87314
0.169001, -4.85185
0.168719, -4.83055
0.168437, -4.80925
0.168156, -4.78796
0.167877, -4.76666
0.167598, -4.74537
0.16732, -4.72407
0.167043, -4.70277
0.166767, -4.68148
0.166492, -4.66018
0.166217, -4.63889
0.165944, -4.61759
0.165672, -4.59629
0.1654, -4.575
0.1653, -4.56713
0.165129, -4.5539
0.16486, -4.53291
0.164591, -4.51192
0.164323, -4.49093
0.164056, -4.46994
0.163789, -4.44895
0.163524, -4.42796
0.163259, -4.40698
0.162996, -4.38599
0.162733, -4.365
0.162471, -4.34401
0.16221, -4.32302
0.161949, -4.30203
0.16169, -4.28104
0.161431, -4.26006
0.161173, -4.23907
0.160916, -4.21808
0.16066, -4.19709
0.160405, -4.1761
0.16015, -4.15511
0.16, -4.14271
0.159896, -4.13525
0.159643, -4.117
0.159391, -4.09876
0.15914, -4.08051
0.158889, -4.06227
0.158639, -4.04402
0.15839, -4.02577
0.158142, -4.00753
0.157895, -3.98928
0.157648, -3.97104
0.157402, -3.95279
0.157157, -3.93455
0.156913, -3.9163
0.156669, -3.89806
0.156426, -3.87981
0.156184, -3.86157
0.155943, -3.84332
0.155702, -3.82508
0.155462, -3.80683
0.155223, -3.78858
0.155, -3.77152
0.154985, -3.77038
0.154747, -3.75276
